id	qid1	qid2	question1	question2	is_duplicate
113000	120877	93635	What are some things new employees should know going into their first day at Cubic?	What are some things new employees should know going into their first day at PPL?	0
113001	124549	82404	How do you overcome depression and loneliness?	How does one overcome depression and anxiety?	0
113002	184777	27439	What kind of questions can I ask to Quora?	What kinds of questions can be asked on Quora?	1
113003	184778	184779	What is the procedure to fly non-revenue on domestic airlines?	What are the procedures of starting a virtual airline and what is the approximate revenue?	0
113004	184780	184781	Why is it that my girlfriend when I get upset she gets more upset , talks about herself than listening ,finally I end comforting her ?	My girlfriend gets jealous when I talk to other girls, but she talks and texts other guys endlessly. Why is she being unfair?	0
113005	184782	751	Which are the best universities in Germany for MS in Electrical engineering?	Which are the best universities in Germany for getting a degree in mechanical engineering?	0
113006	184783	184784	Is Quora the best way to reach a sensible audience?	Building a music based app. What is the best way to reach a big audience and get a large amount of people to download the app?	0
113007	52949	7148	Is there proof of alien life form?	Is there any proof or evidence of alien / extraterrestrial life existence?	1
113008	184785	184786	What are some protein code?	What is a protein?	0
113009	41744	184787	What are the best cheap laptops for a programmer?	What laptop is cheap, portable and able to handle intensive programming for a beginning programmer?	0
113010	184788	184789	What is the best way to structure a social media website?	How do I build a social media website?	1
113011	184790	184791	What can the USS Zumwalt do that other ships can't?	Could the USS Missouri take on the alien ship in the movie Battleship?	0
113012	184792	184793	Wat is my drivers license number?	What is my driver license number?	1
113013	184794	691	Is buying a fleshlight worth it?	What is the best phone to buy below 15k?	0
113014	96016	92413	How do you not waste time on the internet?	How do I stop wasting my time on the internet?	1
113015	106489	6444	How can I stop procrastination?	How should I avoid procrastination?	1
113016	47818	67303	What is the best way to burn fat fast?	How can I lose body fat fast?	1
113017	184795	184796	How much gas does a car burn per hour while idling?	How much do car designers make per year?	0
113018	184797	184798	What are best tourist spots in france?	What are the best tourist spots in your country?	0
113019	168933	184799	Why are Germans so good at engineering?	What's a good textbook to learn German as a beginner?	0
113020	184800	184801	What is an emulsifier?	What is an emulsifier? What is emulsifier made of?	1
113021	184802	184803	Do Mexican women make good wives?	Is adultery a sin only for women? What about King Dasharatha who had 3 wives?	0
113022	184804	28185	How do I develop self-confidence?	How do I gain self-confidence?	1
113023	184805	184806	What's it like to be gay in Budapest (and in Hungary in general)?	Do gay men in general have stronger sexual urges than straight men?	0
113024	105779	184807	Which is best porn site ever?	Which are the best porn sited?	1
113025	59935	184808	Which universities for MS in CS should I apply to?	Which universities should I apply to for an MS in CS?	1
113026	184809	184810	What is a way to convert BCD to Gray using Lab View?	How can I convert Aspx view to Razor view?	0
113027	184811	184812	How do I learn the Arabic language to understand the Quran?	How long does it take to learn Arabic enough to understand Quran?	0
113028	85073	184813	How is CAT percentile calculated?	How can I calculate CAT 2015 percentile or result?	0
113029	34897	22373	Banning 500 and 1000 rupee notes is appreciated but why is the government bringing 500 and 2000 rupees again into the market?	Why the banning of 500 and 1000 rupees notes?	1
113030	184814	184815	What are the alternatives to temboo.com?	What are alternatives to pushalive.com?	0
113031	184816	184817	What are the business opportunities in Singapore?	What is business opportunity?	0
113032	184818	184819	Co Polacy myślą o Brazylii?	I want to go into fashion design but it might to risky?	0
113033	96607	184820	What exams do we need to give to study MS in any US university?	Which exam is needed to study an MS abroad?	0
113034	184821	184822	How familiar you are with Android? Have you developed any Mobile App with team / alone?	What is disaster continuum?	0
113035	144477	184823	Why India need campaign like swach bharat abhiyan?	What is the importance of Swachh Bharat Abhiyan?	1
113036	184824	184825	How would you explain the basis for the pH scale?	Breastfeeding mother can take momo?	0
113037	64908	74836	How does the HP OfficeJet 4620 Airprint compare to the HP DesignJet T120 24-in Printer?	How does the HP OfficeJet 4620 Airprint compare to the HP Color LaserJet Enterprise M553x?	1
113038	11993	127030	Who are the best hackers in the world?	Who is the best hacker around?	1
113039	184826	184827	Why are Norwich terriers particularly difficult to breed?	How difficult are Airedale Terriers to train?	0
113040	12241	55923	What would be your New Year resolutions for 2017?	What is your resolution for this year 2017?	1
113041	96891	152170	Which are the biggest scams of India?	What is the biggest scam in India?	1
113042	184828	91468	How can I get more followers on my new wordpress blog?	What is the easiest way to get followers on Quora?	0
113043	35113	184829	"What does ""to be subjective"" mean?"	"What does ""subjective"" mean?"	0
113044	184830	184831	Should I care about the British Royal Family?	Why has the UK retained the monarchy?	0
113045	184832	184833	Why is India not waging a war against Pakistan even after the Uri attacks?	Tricky programming questions?	0
113046	184834	184835	Is there a relationship between civilizations of continental European countries and the Lutheran Church?	Is there any website to watch all Harry Potter movies?	0
113047	184836	184837	What are the monthly expenditures of Quora?	What is your monthly expenditure in your country?	0
113048	184838	184839	Does Donald Trump think of himself as a charlatan?	Is Donald Trump a charlatan?	0
113049	16957	184840	How can I find my American Airlines record locator number?	How do I get a ticket number from a record locator on American Airlines?	0
113050	184841	184842	What does Slim Shady mean?	Is Slim Shady dead?	0
113051	174334	184843	What is the purpose of a board of directors?	What are the main responsibilites of Board of directors?	1
113052	85885	184844	Organic Chemistry: What's the difference between sigma/pi bonds and single/double bonds?	Are all sigma bonds hybrids?	0
113053	184845	46632	Why does Hillary Clinton lie sometimes?	Does Hillary Clinton have a pattern of lies and mistruths?	1
113054	184846	184847	How bad is the NPA situation of Indian bank's?	How bad is NPA problem with Indian banks? Could revelation of actual truth lead to economic collapse?	1
113055	184848	184849	How can you really make a deal with the devil?	How does one make a deal with the devil?	1
113056	184850	184851	What are some mind-blowing facts about the World War II?	What are some little-known facts from World War II that fascinate you?	0
113057	184852	164740	Can black mold kill you?	What is the best way to kill black mold?	0
113058	53280	184853	Why did Donald Trump and Hillary Clinton win their party nominations?	How did Hillary Clinton and Donald Trump win the nominations if they were the least popular of the candidates?	1
113059	184854	16797	What are some unexpected things first-time visitors to Andorra notice?	What are some unexpected things first-time visitors to India notice?	0
113060	160748	95036	"In Spanish, what is the meaning of the word ""bueno""?"	"In Spanish, what is the meaning of the word ""mañana""?"	0
113061	184855	85735	What might be the cause for a missed period 3 months in a row?	Whu is my period 3 weeks late?	1
113062	184856	184857	When will the results of NTSE Stage 1 2017 be declared?	When will the result of NTSE stage 1 2016 be declared?	0
113063	184858	184859	What does horny goat weed do?	What is horny goat weed?	1
113064	184860	184861	What is the scope of electronics and electrical (EEE)?	Which branch has better scope - Electrical and Telecommunication (ETC) or Electrical and Electronics Engineering (EEE)?	0
113065	184862	184863	Have you ever got out of the movie theater in the middle of a movie because you didn't like it?	Has a movie ever been so bad that you walked out of the movie theater?	1
113066	121010	7949	I know some people that STILL believe the earth is flat. Why?	Why do some people today still believe that the Earth is flat? What evidence has convinced them that this is so?	1
113067	18980	12208	What is the difference between an Army Ranger and a Navy SEAL?	What is the actual difference in Navy Seal Team 6 and Navy Seal Team 7?	0
113068	184864	184865	What are the long term effects of not entering the injector IQA codes in the ECU after replacing injectors in a Bosch common rail system in car?	What are some of the long term effects of exercise on the skeletal system? How can they be treated?	0
113069	184866	184867	What are the best free screen recording softwares for iOS?	What are the best screen recording apps for iOS?	0
113070	184868	184869	What is the hypothesis on why Glossopteris was so widespread?	What are the functions of a hypothesis?	0
113071	184870	184871	What do Pakistani Sindhis think about Indian Sindhis (and vice versa)?	What are your (Indian) random conversation with Pakistanis and vice versa?	0
113072	184872	184873	Who is Pandit Mahendra Pal Arya ?	What has the AAP done for Kashmiri Pandits?	0
113073	10949	89700	Where is my other gmail accounts?	How do I find all my Gmail accounts?	1
113074	184874	57885	Is Krav Maga used by S.O.F.?	Can I use Krav Maga in boxing?	0
113075	184875	184876	What do Chinese people think about Pakistan?	What do Chinese people think about Pakistanis?	1
113076	184877	184878	"Where did ""European Jewish"" come from in my sisters DNA results on AncestryDNA.com?"	I am doing my research on MRSA, but my results are not coming. How do I extract DNA from MRSA?	0
113077	184879	184880	To what extent is Manny's inability to speak or even understand Spanish in Modern Family a realistic portrayal of young Latinos in the US?	Do Phil and Claire in the TV series Modern Family represent typical US parents?	0
113078	28974	50465	How do I pass a meth drug test?	Can you pass a urine test for meth with Suragel?	1
113079	184881	184882	What is the best deep frying oil?	What is the best oil for deep frying cheese curds?	0
113080	66220	184883	Who is the best fielder in Indian Cricket team till date?	Who is the best Indian fielder ever?	1
113081	184884	184885	I am confused about should I learn things in front end development only or learn about data science?	If it wasn't Tchalla, what character of marvel would you be playing?	0
113082	184886	184887	Which course in ms is better robotics or mechatronics or automation for a mechanical student?	What are good medical malpractice books?	0
113083	184888	184889	Is life just for living ordinarily for 50-60 years and then dying?	If the average human life span was 60 years, how would you live your life differently?	0
113084	184890	184891	How do I prepare for the quantitative ability and data interpretation section of the CAT? Is there any material available online? Also, what are some good books for the same?	MBA Preparation: What are the books suggested for the quantitative ability section in CAT ?	1
113085	70277	18420	Will Donald Trump or Hillary Clinton win the 2016 US presidential election?	Who will win the 2016 presidential elections?	1
113086	112372	161392	Which are books that one should read in there life time?	What is that one novel that everybody should read in life?	1
113087	131182	184892	Why is Eunuch and Son of Bitch more worried than emperor at ASEAM meeting in Laos?	"When we burst profanity, in default, why do we have to say ""You son of a bitch"" instead of ""You son of a cunt""? What if his mum is really a cunt?"	0
113088	184893	184894	How good is an IQ of 140?	How good is an IQ of 210?	0
113089	133671	184895	Why do some people faint after lifting a heavy weight?	Why do many wealthy people (non-athletes) prefer cardio over lifting weights?	0
113090	184896	184897	How do you convert 70 inches to feet?	How do you convert inches to feet?	0
113091	184898	184899	When and how was the Kaaba built?	Who ownes the Kaaba?	0
113092	184900	184901	How is life at PICT?	How's college life in PICT?	1
113093	184902	184903	Do you prefer your mobile service provider invest in quality (spectrum) than marketing?	How do I to know myself?	0
113094	184904	184905	If you are homeschooling, or have been homeschooled can you share pros and cons of it?	What are the pros and cons of being homeschooled?	1
113095	184906	184907	What is the story behind the London Riots of August 2011?	What happened in the London Riots and what lead to the riots?	1
113096	53446	184908	What will happen if India decides to give Kashmir to Pakistan?	What if India gives Kashmir to Pakistan?	1
113097	184909	168607	How do I factory reset my Dell laptop?	How do I perform a factory reset on my Dell laptop?	1
113098	184910	184911	How many units of electricity will be consumed if we run a 3 HP, 3-phase motors for 24 hours?	How much battery power is required to run a 2hp ac 3 phase motor for 1hour with 3000rpm?	0
113099	184912	184913	What should I do when I am very angry?	What should I do when I am angry?	1
113100	184914	184915	Is this sentence grammatically correct? It seems weird	Is this sentence grammatically correct and good as it is written?	0
113101	184916	184917	60 amp 3 phase would it be 60 amps per phase or total?	What is the cheapest way to send a stethoscope from India to Nepal?	0
113102	125340	99483	My opinion is iPhone 7 isn't worth the upgrade. What do you think?	Is iPhone 7 worth buying?	1
113103	96874	184918	Which intersections in Denver are particularly dangerous? Why? What could be done to improve them?	Which intersections in Philadelphia are particularly dangerous? Why? What could be done to improve them?	0
113104	184919	184920	Why might I want Adworks or IORG Demo with my  SQL adventureworks download?	What is SQL and why is it important?	0
113105	363	184921	How can I stop being addicted to love?	How can I stop being so addicted to my phone?	0
113106	184922	184923	What are some ice cream flavors you wish existed?	What are some funny names for ice cream flavors?	0
113107	184924	184925	What happens to leftover soaps and other free items in hotel rooms after you check out?	If I check into a hotel room, and something about the room is unacceptable, how do I proceed?	0
113108	184926	184927	Can you have more than one religion?	Why do we have more than one religion?	0
113109	184928	184929	What is your favorite thing about life?	What's your favorite thing about your partner?	0
113110	28764	5637	Which is the best digital marketing course?	I am MBA (Marketing) Student. I want to pursue Digital marketing Course. So where Can I find best course of Digital Marketing? Is there any Institute in Mumbai who are providing the Digital marketing Course?	1
113111	184930	184931	What are some of the best food blogs on Indian cuisine?	What are the best food blogs for South Indian Cuisine?	0
113112	184932	184933	Which grade of engine oil is the best for FZS Version 2?	Which engine oil is best for yamaha FZ version 2 ? 	0
113113	43043	32924	How will India be affected now that 500 and 1000 rupee notes have been banned?	What is the use of banning 500 and 1000 rupee notes and introducing new 500 and 2000 rupee notes?	1
113114	90371	184934	What are some of the best psychological thriller novels?	What are five must read thriller novels?	0
113115	184935	87961	What are some unexpected things first-time visitors to Samoa notice?	What are some unexpected things first-time visitors to Australia notice?	0
113116	184936	47569	What are Hillary Clinton's policies on education?	What does Hillary Clinton plan to do in education?	1
113117	184937	184938	Did Agatha Christie have epilepsy?	"Is ""The Pale Horse"" one of the best works by Agatha Christie?"	0
113118	184939	19675	What is [math]\frac{d}{dx}(2x)^2[/math]?	How do I integrate [math]\int \frac{dx}{sin^2x+tan^2x}[/math]?	0
113119	184940	184941	How do you start a career in politics?	What is the best way to begin a career in politics?	0
113120	184942	90380	Was there any difference between US revolutionary fighters cause and Hamas struggle against so called their enemies, British empire or Israeli  ?	What are some cultural differences between Canadians and Americans?	0
113121	184943	60468	What are the differences between chinos, khakis, and jeans?	What color shirt goes well with khaki pants?	0
113122	346	184944	How can I speak with more clarity and confidence?	How can I be more confident?	1
113123	184945	184946	Why is there hate for Brahmins in Tamil Nadu?	Why is there so much hatred against Brahmins in Tamil Nadu?	1
113124	184947	184948	Which company in India offering internship for network engineer btech student, and what is the process for joining?	What are the top most companies which a 2nd year mechanical engineering student can join for an internship? How can he/she join them?	0
113125	184949	184950	How useful is MakeUseOf Answers?	Is there any Q&A site that is not Yahoo answers, where hate speech is allowed?	0
113126	130137	54895	What is your New Years Resolution?	What are some of your best New Year's resolutions for 2014?	0
113127	184951	184952	How are the career prospects for computer engineering graduates in University of Florida?	I am about to graduate in engineering from a non-computer science branch and want to build a career in software engineering. How should I progress?	0
113128	184953	184954	What is the new H1B Visa reform bill that was re-introduced? Is this bill passed? Is a master’s degree mandatory for Indian IT employees?	What is the total cost to the employer and the employee in case of a H1B transfer ? Is it same as filing a new H1B visa?	0
113129	184955	184956	Given two fair dice, what is the probability that the sum of their numbers is 4 if exactly one die shows a 3?	What is the probability that the sum of two die is less than 10, given that the first die is a 5?	0
113130	184957	184958	What is the meaning of payroll tax?	Why do FICA and Medicare payroll taxes vary every paycheck?	0
113131	184959	184960	How many grams of protein should I eat a day?	How many grams of protein powder should I take daily?	1
113132	184961	184962	What are the outstanding features of sedimentary rocks?	What are different features of sedimentary rocks?	1
113133	77377	184963	Will you still get messages on Instagram if you mute notifications?	How do you get guys to message you on Instagram?	0
113134	184964	184965	Japanese Etiquette, Behavior, and Habits: How does tipping work in Japan?	Why does Japan have no tipping culture?	0
113135	28169	184966	How can one add more than 300 characters to the question details in Quora?	How can I add more details when I am submitting a question?	1
113136	184967	184968	What are the latest eCPM averages for in-app ads in Hong Kong, Malaysia, Saudi Arabia and the United States?	Is it hard to get ads for a mobile app?	0
113137	184969	68778	What is the purpose of the 17th Amendment to the US Constitution? What was the impact?	What was the reasoning behind the 17th Amendment to the US Constitution?	1
113138	184970	184971	Picked up inLottery for 2017 regular processing but no decision yet? Today is Sep 14th. Anyone else same? Approvals should come before October 1st?	Has anyone been accepted to MIT yet for 2015 regular decision?	0
113139	184972	184973	What is the fastest way to make bitcoins?	How can I make a Bitcoin?	1
113140	160930	184974	How do you use law of attraction to get girls?	How can I get the girl I like using the law of attraction and also using self affirmations?	1
113141	41706	68537	When does a woman have the highest chance of getting pregnant? Is this before periods, during periods or after periods?	I had sex 11 days before my period could I get pregnant?	0
113142	184975	184976	What are the most interesting products and innovations that First Merchants is coming out with in 2016?	What are the most interesting products and innovations that First Solar is coming out with in 2016?	0
113143	184977	184978	I love eating the seeds in an Apple's core. Is that ok?	Is eating apple seeds bad for you?	0
113144	184979	184980	Why doesn't Karma punish those women who are harsh to other women? How can one not get punished for causing harm to their own gender?	"Why do women when they talk to their girlfriends about their date or a new boyfriend often say things like, ""He's not very tall/he's a little bald/he's a little skinny... but [insert something positive]."" Is it because women have a very precise idea of how their prince charming should be and feel like they have to justify why they chose a man who doesn't correspond 100% to that image?"	0
113145	184981	184982	Why the movie 1920 London is certified as an adult movie?	Which are the best R rated hollywood movies?	0
113146	43540	184983	What song plays over the end credits to the 2002 movie The Nest?	What song plays over the end credits to the 2002 movie Bark?	0
113147	184984	47924	What is the story behind the half-eaten Apple fruit logo?	What is the reason behind Apple's logo?	1
113148	184985	89088	How does Vitamin C prevent pregnancy?	How do cells absorb vitamins such as vitamin C?	0
113149	184986	184987	Should I apologize my friend (mistakes out of pride)?	Shall I apologize to my egoistic friend?	0
113150	184988	168257	What is transaction paper?	What is transaction?	0
113151	184989	184990	What Java skill level is required to write Robotium tests and on what Java concepts I should focus on?	How much is a Savage 69n 12 ga. worth?	0
113152	184991	184992	What is your favourite animated movie of all time, and why?	What is your favourite animated movie?	1
113153	184993	184994	What is the degree of freedom of melting ice?	What is the degree of freedom for moist air?	0
113154	184995	184996	Can a dead person move or speak?	Can people really speak to the dead?	0
113155	184997	184998	Any good bicycle shop which provide all the spare parts to build a whole bicycle in Singapore?	I became a manipulative CEO. How to be normal again? Am I a sociopath?	0
113156	184999	185000	In C++, are all methods functions?	How do I convert string to integer (method) without using any functions in C#?	0
113157	131182	185001	Why is Eunuch and Son of Bitch more worried than emperor at ASEAM meeting in Laos?	Why AAP and BJP are always bitching about each other in spite of doing great jobs in their respective areas?	0
113158	185002	185003	How do I invest 2000$ as a 14 year old?	What would be the best way to invest my $2000 as 18 year old?	0
113159	82816	32160	What is the QuickBooks installation support phone number?	Which is the best QuickBooks Tech Support Number?	1
113160	102354	185004	How do I study political science optional for UPSC CSE?	[UPSC] : Which paper of political science & international ralations should be studied first as optional subject?	1
113161	185005	185006	How do you find the integral of sin cubed?	How do I integrate (sin(a+b) x)?	0
113162	185007	73672	Shouldn't Brahmins be given minority status for accounting as 6.4% of the population?	Why are most Hindu vegetarian?	0
113163	185008	17470	What was the classical song in X Men Apocolypse?	Who is the most powerful mutant in the X-Men universe?	0
113164	185009	185010	What should a man do when there is no where to go, no family left, no job, no money, no proper qualification, and no place to live? Is suicide the answer?	Which is the cheapest place to live in U.S with a family of 4?	0
113165	185011	185012	Is it good for my health to eat a lot of spicy green chillies everyday?	Does eating spicy (chilli/hot) food hurt your health in the long run?	0
113166	185013	185014	How long is marijuana in your saliva?	How long does marijuana stay in saliva?	1
113167	185015	185016	How can I get a tan tattoo?	How can I get tanned?	0
113168	25951	30238	What bank has the best credit cards?	What is the best credit card?	0
113169	139754	115460	How do I lose 7kgs in 2 weeks?	What is a diet to lose 10 pounds per week?	0
113170	185017	185018	What are the most interesting products and innovations that Graphic Packaging is coming out with in 2016?	What are the most interesting products and innovations that Quad/Graphics is coming out with in 2016?	0
113171	179862	185019	Is Obama a closet Muslim?	Is Barack Obama muslim?	1
113172	185020	185021	"What are some examples of ""legit"" musicals?"	What are examples of virtual computer music?	0
113173	185022	185023	Why is it essential to prevent iron implements from rust formation?	What would happen if I cook in rusted iron pan?	0
113174	185024	185025	What is management by objectives?	What are the benefits of management by objectives?	0
113175	185026	185027	What is Xanthan Gum used for?	What is Xanthan Gum?	0
113176	52757	42450	Why disable comments when you can simply not look at the comment section?	Why would a person disable comments on his/her answer?	1
113177	44982	185028	What are some innovative products not easily available in India?	What are the things one should bring to the USA from India, stuff that is not easily available there?	0
113178	185029	185030	What are some examples of successful inter-species breeding?	How do you breed mules?	0
113179	185031	61935	"What is the Latin translation of ""give me strength""?"	"What is the Latin translation of ""strength and honor""?"	0
113180	90646	55908	What can you eat on a 500 calories per day diet?	What if I only eat 300-500 calories a day a few months?	0
113181	185032	185033	Why am I mean to my friends?	"A girl said that""you are a very special friend to me"".Does it mean I am in friend zone?"	0
113182	161720	29992	Why do girls make sound while having sex?	Why do girls make sounds during sex?	1
113183	46329	29775	How do I improve my communication skills.?	What should we do to improve communication skills?	1
113184	69748	135426	Who is your favorite animated character and why?	What is your favorite animated character?and why?	1
113185	3665	185034	How can find my user name and password in IRCTC by my register mobile number or Email ID?	How can I restore my user ID for my IRCTC?	0
113186	185035	185036	What's the average margin on a pizza from a local pizzeria?	Why do pizzerias offer anchovies?	0
113187	56947	185037	What is the shape of a light particle, and would it be possible to manipulate that shape in the future? Then, what would happen? (Hypothetically)	If you could turn back time and change just one thing that happened in the past, what would that be? Hypothetically speaking, what possible cascade of impact would that change make?	0
113188	185038	185039	What are some of the predators that the lion has?	What is a lion's predator?	0
113189	52208	185040	Why did the US not win the war of 1812?	What is the closest Britain and the US has been at war against each other since the war of 1812?	0
113190	185041	185042	I am green card holder My minor children are living abroad I have applied for their green card I don't want to leave them alone and stay in USA?	How does [math]KI[/math] replace [math]Cl[/math] in [math]PbCl_2[/math] in the reaction: [math]PbCl_2 + KI \to PbI_2 + KCl[/math]?	0
113191	185043	185044	What is the value of [math]x[/math] in this equation: [math]3=\frac {6\sqrt {12,3}}{\sqrt {x}}[/math]?	What is the best way to tip a dog groomer?	0
113192	185045	185046	Would taking 16 30-minute naps be as refreshing as sleeping for 8 hours?	What can I do when I feel alone or ignores by some one?	0
113193	185047	185048	How do I connect with girls emotionally?	What are good ways to emotionally connect with other people?	0
113194	185049	185050	What are some examples of cinder cone volcanos?	What are some examples of cinder cone volcanoes? What are the parts of cinder cone volcanoes?	1
113195	185051	185052	What is an example of a textbook synopsis of pathophysiology of pneumonia?	What is an example of a textbook synopsis of the pathophysiology of pneumonia?	1
113196	185053	185054	What is the Burberry employee discount?	Are Burberry clothes worth it?	0
113197	185055	82602	Is freescoreindia.com a scam?	Is xtrade.com a scam?	0
113198	185056	185057	What happens with a past curfew ticket in court?	Why do people think that the officer will not show up to court for a speeding ticket?	0
113199	185058	185059	What universities does Staples recruit new grads from? What majors are they looking for?	What universities does Accenture recruit new grads from? What majors are they looking for?	0
113200	185060	185061	What should I do first to start learning web development?	How do I start learning web development?	0
113201	185062	185063	Is quantum teleportation/entanglement a violation of the principle that information cannot travel faster than light?	Does Quantum entanglement violate the fact that nothing can go faster than the speed of light?	1
113202	185064	28581	Is it good for your health to drink your morning urine?	Are there any health benefits to drinking one's own urine?	1
113203	185065	185066	What should I do to make my aptitude strong?	How can I make my aptitude strong?	1
113204	71542	185067	What is the origin of the Sanskrit language?	What is the origin of Sanskrit Language?	1
113205	27205	86321	Is Trump still going to build a wall a make Mexico pay for it?	How is it possible for Donald Trump to force Mexico to pay for the wall?	1
113206	185068	185069	Which is the best brand of the cigarette?	What brand of cigarette do girls smoke?	0
113207	185070	60944	How do I become a top university student?	How can I get into a top university?	0
113208	55232	185071	Where can I watch the edge of seventeen online?	Which media streaming device is best for India?	0
113209	185072	185073	Why is silicon preferred over germanium in preparing diode?	Why do chip makers use silicon over graphene?	0
113210	185074	185075	Would America lose 2 million jobs to save a million jobs impacted by international trade?	If you had a well payed job and had 1 million dollars in a bank, would you be able to conceal it from your friends?	0
113211	185076	185077	Were the character names in Star Wars: Rebels intentionally chosen to reflect Western classical traditions?	How old are the characters in Star Wars?	0
